test model relativeRisk haplotypeLength recFrac Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 Holdout_mTDT_minFreq10.00000_01 Holdout_mTDT_minFreq10.00000_05 Holdout_mTDT_minFreq10.00000_001 Holdout_mTDT_minFreq10.00000_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_ScoreTDT_minFreq10.00000_01 Holdout_ScoreTDT_minFreq10.00000_05 Holdout_ScoreTDT_minFreq10.00000_001 Holdout_ScoreTDT_minFreq10.00000_005 Holdout_mTDT1T_01 Holdout_mTDT1T_05 Holdout_mTDT1T_001 Holdout_mTDT1T_005 Holdout_mTDT1T_minFreq10.00000_01 Holdout_mTDT1T_minFreq10.00000_05 Holdout_mTDT1T_minFreq10.00000_001 Holdout_mTDT1T_minFreq10.00000_005 Holdout_mTDT2G_01 Holdout_mTDT2G_05 Holdout_mTDT2G_001 Holdout_mTDT2G_005 Holdout_mTDT2G_minFreq10.00000_01 Holdout_mTDT2G_minFreq10.00000_05 Holdout_mTDT2G_minFreq10.00000_001 Holdout_mTDT2G_minFreq10.00000_005 Holdout_mTDT1_01 Holdout_mTDT1_05 Holdout_mTDT1_001 Holdout_mTDT1_005 Holdout_mTDT1_minFreq10.00000_01 Holdout_mTDT1_minFreq10.00000_05 Holdout_mTDT1_minFreq10.00000_001 Holdout_mTDT1_minFreq10.00000_005 
PowerTwoLoci DomOrDom 2 1 0.0003000 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02 0.03 0.1 0 0.02
PowerTwoLoci DomOrDom 2 1 0.0003500 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0
PowerTwoLoci DomOrDom 2 1 0.0004000 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0 0.02 0.06 0 0
PowerTwoLoci DomOrDom 2 1 0.0004500 0 0.04 0 0 0 0.03 0 0 0 0.04 0 0 0 0.03 0 0 0 0.04 0 0 0 0.03 0 0 0 0.04 0 0 0 0.03 0 0 0 0.04 0 0 0 0.03 0 0
PowerTwoLoci DomOrDom 2 1 0.0005000 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01
PowerTwoLoci DomOrDom 2 1 0.0008000 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01
PowerTwoLoci DomOrDom 2 1 0.0016000 0.01 0.05 0 0.01 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0.01 0.04 0 0.01
PowerTwoLoci DomOrDom 2 1 0.0032000 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03 0.03 0.04 0.01 0.03
PowerTwoLoci DomOrDom 4 1 0.0000000 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22
PowerTwoLoci DomOrDom 4 1 0.0000500 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12
PowerTwoLoci DomOrDom 4 1 0.0001000 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05 0.07 0.14 0.04 0.05
PowerTwoLoci DomOrDom 4 1 0.0001500 0.09 0.15 0.03 0.06 0.09 0.15 0.03 0.06 0.09 0.15 0.03 0.06 0.09 0.15 0.03 0.06 0.08 0.14 0.03 0.06 0.08 0.14 0.03 0.06 0.08 0.14 0.03 0.06 0.08 0.14 0.03 0.06 0.08 0.14 0.03 0.06 0.08 0.14 0.03 0.06
PowerTwoLoci DomOrDom 4 1 0.0002000 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0
PowerTwoLoci DomOrDom 4 1 0.0002500 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03
PowerTwoLoci DomOrDom 4 1 0.0003000 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01
PowerTwoLoci DomOrDom 4 1 0.0003500 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01 0.01 0.03 0.01 0.01
PowerTwoLoci DomOrDom 4 1 0.0004000 0.01 0.08 0 0.01 0.01 0.08 0 0.01 0.01 0.08 0 0.01 0.01 0.08 0 0.01 0 0.07 0 0 0 0.07 0 0 0.01 0.08 0 0.01 0.01 0.08 0 0.01 0 0.07 0 0 0 0.07 0 0
PowerTwoLoci DomOrDom 4 1 0.0004500 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0
PowerTwoLoci DomOrDom 4 1 0.0005000 0 0.05 0 0 0 0.05 0 0 0 0.05 0 0 0 0.05 0 0 0 0.03 0 0 0 0.03 0 0 0 0.04 0 0 0 0.05 0 0 0 0.03 0 0 0 0.03 0 0
PowerTwoLoci DomOrDom 4 1 0.0008000 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0 0.01 0.03 0 0
PowerTwoLoci DomOrDom 4 1 0.0016000 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0
PowerTwoLoci DomOrDom 4 1 0.0032000 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0
PowerTwoLoci DomOrDom 6 1 0.0000000 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3 0.32 0.43 0.21 0.3
PowerTwoLoci DomOrDom 6 1 0.0000500 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12 0.15 0.22 0.08 0.12
PowerTwoLoci DomOrDom 6 1 0.0001000 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08 0.11 0.18 0.04 0.08
PowerTwoLoci DomOrDom 6 1 0.0001500 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08 0.09 0.17 0.02 0.08
PowerTwoLoci DomOrDom 6 1 0.0002000 0.02 0.05 0.01 0.01 0.02 0.05 0.01 0.01 0.02 0.05 0.01 0.01 0.02 0.05 0.01 0.01 0.02 0.03 0.01 0.01 0.02 0.03 0.01 0.01 0.02 0.04 0.01 0.01 0.02 0.04 0.01 0.01 0.02 0.03 0.01 0.01 0.02 0.03 0.01 0.01
PowerTwoLoci DomOrDom 6 1 0.0002500 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01
PowerTwoLoci DomOrDom 6 1 0.0003000 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0
PowerTwoLoci DomOrDom 6 1 0.0003500 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02 0.02 0.07 0.02 0.02
PowerTwoLoci DomOrDom 6 1 0.0004000 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci DomOrDom 6 1 0.0004500 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0 0.03 0.08 0 0
PowerTwoLoci DomOrDom 6 1 0.0005000 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci DomOrDom 6 1 0.0008000 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci DomOrDom 6 1 0.0016000 0 0.05 0 0 0 0.04 0 0 0 0.05 0 0 0 0.04 0 0 0 0.05 0 0 0 0.04 0 0 0 0.05 0 0 0 0.04 0 0 0 0.05 0 0 0 0.04 0 0
PowerTwoLoci DomOrDom 6 1 0.0032000 0 0.05 0 0 0 0.05 0 0 0 0.05 0 0 0 0.05 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.05 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci DomOrDom 8 1 0.0000000 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33 0.35 0.43 0.27 0.33
PowerTwoLoci DomOrDom 8 1 0.0000500 0.15 0.26 0.09 0.12 0.15 0.25 0.09 0.12 0.15 0.26 0.09 0.12 0.15 0.25 0.09 0.12 0.15 0.25 0.09 0.12 0.15 0.25 0.09 0.12 0.15 0.26 0.09 0.12 0.15 0.25 0.09 0.12 0.15 0.25 0.09 0.12 0.15 0.25 0.09 0.12
PowerTwoLoci DomOrDom 8 1 0.0001000 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1 0.1 0.17 0.07 0.1
PowerTwoLoci DomOrDom 8 1 0.0001500 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07 0.1 0.18 0.03 0.07
PowerTwoLoci DomOrDom 8 1 0.0002000 0.01 0.06 0 0 0.01 0.06 0 0 0.01 0.06 0 0 0.01 0.06 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.05 0 0 0.01 0.06 0 0 0.01 0.05 0 0 0.01 0.05 0 0
PowerTwoLoci DomOrDom 8 1 0.0002500 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03 0.05 0.08 0.01 0.03
PowerTwoLoci DomOrDom 8 1 0.0003000 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01 0.01 0.09 0 0.01
PowerTwoLoci DomOrDom 8 1 0.0003500 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02 0.03 0.07 0 0.02
PowerTwoLoci DomOrDom 8 1 0.0004000 0.03 0.11 0 0 0.03 0.11 0 0 0.03 0.11 0 0 0.03 0.11 0 0 0.02 0.09 0 0 0.02 0.09 0 0 0.02 0.09 0 0 0.02 0.09 0 0 0.02 0.09 0 0 0.02 0.09 0 0
PowerTwoLoci DomOrDom 8 1 0.0004500 0 0.09 0 0 0 0.08 0 0 0 0.09 0 0 0 0.08 0 0 0 0.09 0 0 0 0.08 0 0 0 0.09 0 0 0 0.08 0 0 0 0.09 0 0 0 0.08 0 0
PowerTwoLoci DomOrDom 8 1 0.0005000 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0 0 0.04 0 0
PowerTwoLoci DomOrDom 8 1 0.0008000 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01 0.01 0.06 0 0.01
PowerTwoLoci DomOrDom 8 1 0.0016000 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0
PowerTwoLoci DomOrDom 8 1 0.0032000 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0.01 0.02 0 0
PowerTwoLoci DomOrDom 10 1 0.0000000 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32 0.36 0.49 0.28 0.32
PowerTwoLoci DomOrDom 10 1 0.0000500 0.17 0.26 0.12 0.15 0.17 0.25 0.12 0.15 0.17 0.26 0.12 0.15 0.17 0.25 0.12 0.15 0.16 0.25 0.12 0.15 0.16 0.24 0.12 0.15 0.16 0.25 0.12 0.15 0.17 0.25 0.12 0.15 0.16 0.25 0.12 0.15 0.16 0.24 0.12 0.15
PowerTwoLoci DomOrDom 10 1 0.0001000 0.13 0.25 0.06 0.1 0.13 0.25 0.06 0.1 0.13 0.25 0.06 0.1 0.13 0.25 0.06 0.1 0.13 0.24 0.06 0.1 0.13 0.24 0.06 0.1 0.13 0.25 0.06 0.1 0.13 0.25 0.06 0.1 0.13 0.24 0.06 0.1 0.13 0.24 0.06 0.1
PowerTwoLoci DomOrDom 10 1 0.0001500 0.09 0.2 0.06 0.08 0.09 0.19 0.06 0.08 0.09 0.2 0.06 0.08 0.09 0.19 0.06 0.08 0.09 0.19 0.06 0.08 0.09 0.18 0.06 0.08 0.09 0.2 0.06 0.08 0.09 0.19 0.06 0.08 0.09 0.19 0.06 0.08 0.09 0.18 0.06 0.08
PowerTwoLoci DomOrDom 10 1 0.0002000 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0 0.01 0.07 0 0
PowerTwoLoci DomOrDom 10 1 0.0002500 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01 0.02 0.08 0 0.01
PowerTwoLoci DomOrDom 10 1 0.0003000 0.04 0.12 0 0.03 0.04 0.12 0 0.03 0.04 0.12 0 0.03 0.04 0.12 0 0.03 0.04 0.11 0 0.03 0.04 0.11 0 0.03 0.04 0.11 0 0.03 0.04 0.11 0 0.03 0.04 0.11 0 0.03 0.04 0.11 0 0.03
PowerTwoLoci DomOrDom 10 1 0.0003500 0.03 0.06 0.01 0.03 0.03 0.06 0.01 0.03 0.03 0.06 0.01 0.03 0.03 0.06 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.06 0.01 0.03 0.03 0.06 0.01 0.03 0.03 0.05 0.01 0.03 0.03 0.05 0.01 0.03
PowerTwoLoci DomOrDom 10 1 0.0004000 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01 0.02 0.09 0 0.01
PowerTwoLoci DomOrDom 10 1 0.0004500 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01
PowerTwoLoci DomOrDom 10 1 0.0005000 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0
PowerTwoLoci DomOrDom 10 1 0.0008000 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0
PowerTwoLoci DomOrDom 10 1 0.0016000 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01
PowerTwoLoci DomOrDom 10 1 0.0032000 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0 0 0.03 0 0
PowerTwoLoci DomAndDom 2 1 0.0000000 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1 0.16 0.26 0.07 0.1
PowerTwoLoci DomAndDom 2 1 0.0000500 0.06 0.18 0.01 0.06 0.05 0.17 0.01 0.05 0.06 0.18 0.01 0.06 0.05 0.17 0.01 0.05 0.05 0.17 0.01 0.05 0.05 0.17 0.01 0.05 0.06 0.18 0.01 0.06 0.05 0.17 0.01 0.05 0.05 0.17 0.01 0.05 0.05 0.17 0.01 0.05
PowerTwoLoci DomAndDom 2 1 0.0001000 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03 0.03 0.12 0.02 0.03
PowerTwoLoci DomAndDom 2 1 0.0001500 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04 0.05 0.11 0.01 0.04
PowerTwoLoci DomAndDom 2 1 0.0002000 0.02 0.07 0 0.01 0.02 0.06 0 0.01 0.02 0.07 0 0.01 0.02 0.06 0 0.01 0.02 0.07 0 0.01 0.02 0.06 0 0.01 0.02 0.07 0 0.01 0.02 0.06 0 0.01 0.02 0.07 0 0.01 0.02 0.06 0 0.01
PowerTwoLoci DomAndDom 2 1 0.0002500 0.01 0.07 0 0.01 0.01 0.06 0 0.01 0.01 0.07 0 0.01 0.01 0.06 0 0.01 0.01 0.05 0 0.01 0.01 0.04 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.04 0 0.01
PowerTwoLoci DomAndDom 2 1 0.0003000 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02 0.03 0.09 0 0.02
PowerTwoLoci DomAndDom 2 1 0.0003500 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0 0 0.07 0 0
PowerTwoLoci DomAndDom 2 1 0.0004000 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01 0.03 0.06 0 0.01
PowerTwoLoci DomAndDom 2 1 0.0004500 0 0.03 0 0 0 0.02 0 0 0 0.03 0 0 0 0.02 0 0 0 0.03 0 0 0 0.02 0 0 0 0.03 0 0 0 0.02 0 0 0 0.03 0 0 0 0.02 0 0
PowerTwoLoci DomAndDom 2 1 0.0005000 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.05 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01 0.01 0.04 0 0.01
PowerTwoLoci DomAndDom 2 1 0.0008000 0.01 0.03 0 0.01 0.01 0.03 0 0.01 0.01 0.03 0 0.01 0.01 0.03 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.03 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0 0.01
PowerTwoLoci DomAndDom 2 1 0.0016000 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0 0 0.06 0 0 0 0.05 0 0
PowerTwoLoci DomAndDom 2 1 0.0032000 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02 0.03 0.04 0 0.02
PowerTwoLoci DomAndDom 4 1 0.0000000 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22 0.24 0.39 0.16 0.22
PowerTwoLoci DomAndDom 4 1 0.0000500 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12 0.15 0.2 0.09 0.12
PowerTwoLoci DomAndDom 4 1 0.0001000 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05 0.06 0.13 0.04 0.05
PowerTwoLoci DomAndDom 4 1 0.0001500 0.11 0.17 0.03 0.07 0.11 0.17 0.03 0.07 0.11 0.17 0.03 0.07 0.11 0.17 0.03 0.07 0.1 0.16 0.03 0.07 0.1 0.16 0.03 0.07 0.1 0.16 0.03 0.07 0.1 0.16 0.03 0.07 0.1 0.16 0.03 0.07 0.1 0.16 0.03 0.07
