test model relativeRisk haplotypeLength recFrac CrossValidation_fold5_mTDT_01 CrossValidation_fold5_mTDT_05 CrossValidation_fold5_mTDT_001 CrossValidation_fold5_mTDT_005 CrossValidation_fold5_mTDT_minFreq10.00000_01 CrossValidation_fold5_mTDT_minFreq10.00000_05 CrossValidation_fold5_mTDT_minFreq10.00000_001 CrossValidation_fold5_mTDT_minFreq10.00000_005 CrossValidation_fold5_ScoreTDT_01 CrossValidation_fold5_ScoreTDT_05 CrossValidation_fold5_ScoreTDT_001 CrossValidation_fold5_ScoreTDT_005 CrossValidation_fold5_ScoreTDT_minFreq10.00000_01 CrossValidation_fold5_ScoreTDT_minFreq10.00000_05 CrossValidation_fold5_ScoreTDT_minFreq10.00000_001 CrossValidation_fold5_ScoreTDT_minFreq10.00000_005 CrossValidation_fold5_mTDT1T_01 CrossValidation_fold5_mTDT1T_05 CrossValidation_fold5_mTDT1T_001 CrossValidation_fold5_mTDT1T_005 CrossValidation_fold5_mTDT1T_minFreq10.00000_01 CrossValidation_fold5_mTDT1T_minFreq10.00000_05 CrossValidation_fold5_mTDT1T_minFreq10.00000_001 CrossValidation_fold5_mTDT1T_minFreq10.00000_005 CrossValidation_fold5_mTDT2G_01 CrossValidation_fold5_mTDT2G_05 CrossValidation_fold5_mTDT2G_001 CrossValidation_fold5_mTDT2G_005 CrossValidation_fold5_mTDT2G_minFreq10.00000_01 CrossValidation_fold5_mTDT2G_minFreq10.00000_05 CrossValidation_fold5_mTDT2G_minFreq10.00000_001 CrossValidation_fold5_mTDT2G_minFreq10.00000_005 CrossValidation_fold5_mTDT1_01 CrossValidation_fold5_mTDT1_05 CrossValidation_fold5_mTDT1_001 CrossValidation_fold5_mTDT1_005 CrossValidation_fold5_mTDT1_minFreq10.00000_01 CrossValidation_fold5_mTDT1_minFreq10.00000_05 CrossValidation_fold5_mTDT1_minFreq10.00000_001 CrossValidation_fold5_mTDT1_minFreq10.00000_005 
PowerTwoLoci DomOrDom 2 10 0.0001500 0 0 0 0 0.06 0.14 0.03 0.04 0 0 0 0 0.04 0.1 0.03 0.04 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0 0.01 0.04 0 0.01 0 0 0 0 0.01 0.01 0 0
PowerTwoLoci DomOrDom 4 10 0.0000000 0.24 0.34 0.14 0.22 0.73 0.82 0.64 0.73 0.19 0.32 0.09 0.16 0.74 0.81 0.61 0.66 0.29 0.34 0.13 0.22 0.54 0.6 0.48 0.53 0.33 0.41 0.23 0.3 0.56 0.68 0.51 0.53 0.27 0.33 0.13 0.22 0.48 0.57 0.41 0.46
PowerTwoLoci DomOrDom 4 10 0.0000500 0.01 0.04 0 0 0.42 0.5 0.32 0.39 0 0.02 0 0 0.41 0.52 0.33 0.36 0.04 0.09 0.02 0.03 0.19 0.26 0.19 0.19 0.05 0.1 0.02 0.03 0.26 0.33 0.2 0.23 0.04 0.09 0.02 0.03 0.18 0.25 0.14 0.16
PowerTwoLoci DomOrDom 4 10 0.0001000 0.01 0.01 0 0 0.27 0.38 0.13 0.19 0.01 0.01 0 0 0.24 0.38 0.12 0.19 0.01 0.01 0 0.01 0.09 0.13 0.07 0.08 0 0.01 0 0 0.05 0.11 0.03 0.04 0.01 0.01 0 0.01 0.03 0.09 0.01 0.03
PowerTwoLoci DomOrDom 4 10 0.0001500 0 0 0 0 0.11 0.21 0.07 0.09 0 0 0 0 0.12 0.19 0.07 0.09 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0.04 0.06 0.02 0.04 0 0 0 0 0.02 0.06 0.01 0.01
PowerTwoLoci DomOrDom 6 10 0.0000000 0.3 0.43 0.21 0.26 0.85 0.91 0.72 0.81 0.24 0.4 0.14 0.2 0.84 0.9 0.68 0.79 0.29 0.39 0.22 0.26 0.61 0.66 0.56 0.6 0.43 0.48 0.28 0.38 0.7 0.81 0.55 0.66 0.29 0.38 0.22 0.26 0.58 0.61 0.48 0.5
PowerTwoLoci DomOrDom 6 10 0.0000500 0.02 0.09 0 0 0.49 0.57 0.37 0.42 0 0.05 0 0 0.47 0.58 0.38 0.46 0.04 0.11 0.01 0.02 0.25 0.35 0.19 0.24 0.07 0.14 0.02 0.05 0.24 0.31 0.19 0.22 0.04 0.11 0.01 0.02 0.18 0.31 0.12 0.16
PowerTwoLoci DomOrDom 6 10 0.0001000 0.01 0.03 0 0 0.33 0.42 0.17 0.24 0 0.02 0 0 0.3 0.42 0.19 0.25 0.01 0.02 0.01 0.01 0.07 0.12 0.04 0.05 0.03 0.03 0 0.02 0.1 0.24 0.07 0.09 0.01 0.02 0.01 0.01 0.02 0.08 0.02 0.02
PowerTwoLoci DomOrDom 6 10 0.0001500 0 0 0 0 0.13 0.25 0.08 0.09 0 0 0 0 0.12 0.24 0.08 0.08 0 0 0 0 0.03 0.07 0.01 0.01 0 0.02 0 0 0.06 0.1 0.01 0.05 0 0 0 0 0.03 0.07 0.01 0.01
PowerTwoLoci DomOrDom 8 10 0.0000000 0.36 0.47 0.25 0.35 0.87 0.91 0.79 0.85 0.26 0.4 0.19 0.24 0.88 0.91 0.75 0.84 0.33 0.42 0.25 0.27 0.62 0.66 0.56 0.59 0.45 0.54 0.34 0.43 0.71 0.8 0.62 0.66 0.31 0.42 0.24 0.26 0.61 0.66 0.52 0.56
