test model relativeRisk haplotypeLength recFrac Training_mTDT2G_cv2_useDistances_01 Training_mTDT2G_cv2_useDistances_05 Training_mTDT2G_cv2_useDistances_001 Training_mTDT2G_cv2_useDistances_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT2G_cv5_useDistances_01 Training_mTDT2G_cv5_useDistances_05 Training_mTDT2G_cv5_useDistances_001 Training_mTDT2G_cv5_useDistances_005 
PowerTwoLoci DomOrDom 1.6 1 0.0001000 0.04 0.07 0 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.03 0.04 0 0.02
PowerTwoLoci DomOrDom 1.6 1 0.0001500 0.06 0.1 0 0.05 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.02 0.12 0.01 0.01
PowerTwoLoci DomOrDom 1.6 1 0.0002000 0.07 0.16 0.04 0.05 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.05 0.12 0.03 0.05
PowerTwoLoci DomOrDom 2.0 1 0.0000000 0.3 0.37 0.23 0.28 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.29 0.31 0.22 0.26
PowerTwoLoci DomOrDom 2.0 1 0.0000500 0.18 0.27 0.1 0.14 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.11 0.24 0.09 0.11
PowerTwoLoci DomOrDom 2.0 1 0.0001000 0.03 0.09 0.02 0.02 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.09 0.02 0.02
PowerTwoLoci DomOrDom 2.0 1 0.0001500 0.03 0.14 0.01 0.02 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.02 0.07 0 0.01
PowerTwoLoci DomOrDom 2.0 1 0.0002000 0.1 0.18 0.06 0.08 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.05 0.1 0.03 0.05
PowerTwoLoci DomOrDom 2.4 1 0.0000000 0.3 0.35 0.26 0.28 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.26 0.3 0.24 0.26
PowerTwoLoci DomOrDom 2.4 1 0.0000500 0.2 0.31 0.12 0.2 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.13 0.29 0.1 0.12
PowerTwoLoci DomOrDom 2.4 1 0.0001000 0.04 0.11 0.02 0.03 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.03 0.1 0.02 0.02
PowerTwoLoci DomOrDom 2.4 1 0.0001500 0.06 0.15 0.01 0.03 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.05 0.11 0 0.05
PowerTwoLoci DomOrDom 2.4 1 0.0002000 0.06 0.18 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.08 0.12 0.05 0.06
PowerTwoLoci DomOrDom 2.6 1 0.0000000 0.3 0.36 0.26 0.28 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.26 0.37 0.24 0.26
PowerTwoLoci DomOrDom 2.6 1 0.0000500 0.26 0.3 0.16 0.21 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.18 0.26 0.1 0.16
PowerTwoLoci DomOrDom 2.6 1 0.0001000 0.04 0.11 0.02 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.04 0.11 0.02 0.03
PowerTwoLoci DomOrDom 2.6 1 0.0001500 0.07 0.14 0.02 0.06 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.05 0.14 0.01 0.01
PowerTwoLoci DomOrDom 2.6 1 0.0002000 0.07 0.13 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.06 0.11 0.06 0.06
PowerTwoLoci DomAndDom 1.2 1 0.0000000 0.24 0.3 0.19 0.23 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.22 0.27 0.15 0.19
PowerTwoLoci DomAndDom 1.2 1 0.0000500 0.09 0.17 0.04 0.07 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.06 0.11 0.02 0.04
PowerTwoLoci DomAndDom 1.2 1 0.0001000 0.05 0.07 0 0.02 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.02 0.06 0 0
PowerTwoLoci DomAndDom 1.2 1 0.0001500 0.02 0.09 0.01 0.01 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.01 0.06 0 0.01
PowerTwoLoci DomAndDom 1.2 1 0.0002000 0.08 0.14 0.04 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.05 0.13 0.04 0.05
PowerTwoLoci DomAndDom 1.6 1 0.0000000 0.28 0.31 0.18 0.26 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.2 0.32 0.15 0.17
PowerTwoLoci DomAndDom 1.6 1 0.0000500 0.14 0.23 0.09 0.12 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.13 0.21 0.05 0.07
PowerTwoLoci DomAndDom 1.6 1 0.0001000 0.04 0.07 0 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.03 0.05 0 0.02
PowerTwoLoci DomAndDom 1.6 1 0.0001500 0.06 0.1 0 0.05 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.02 0.12 0.01 0.01
PowerTwoLoci DomAndDom 1.6 1 0.0002000 0.07 0.16 0.04 0.05 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.05 0.12 0.03 0.05
PowerTwoLoci DomAndDom 2.0 1 0.0000000 0.3 0.37 0.23 0.28 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.29 0.31 0.22 0.26
PowerTwoLoci DomAndDom 2.0 1 0.0000500 0.18 0.27 0.1 0.14 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.11 0.24 0.09 0.11
PowerTwoLoci DomAndDom 2.0 1 0.0001000 0.03 0.09 0.02 0.02 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.08 0.02 0.02
PowerTwoLoci DomAndDom 2.0 1 0.0001500 0.03 0.13 0.01 0.02 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.02 0.07 0 0.01
PowerTwoLoci DomAndDom 2.0 1 0.0002000 0.1 0.18 0.06 0.08 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.06 0.11 0.03 0.06
PowerTwoLoci DomAndDom 2.4 1 0.0000000 0.3 0.35 0.26 0.28 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.26 0.3 0.24 0.26
PowerTwoLoci DomAndDom 2.4 1 0.0000500 0.2 0.31 0.12 0.2 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.13 0.29 0.1 0.12
PowerTwoLoci DomAndDom 2.4 1 0.0001000 0.04 0.12 0.02 0.03 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.03 0.1 0.02 0.02
PowerTwoLoci DomAndDom 2.4 1 0.0001500 0.06 0.12 0.01 0.03 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.06 0.11 0 0.06
PowerTwoLoci DomAndDom 2.4 1 0.0002000 0.06 0.18 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.07 0.12 0.05 0.06
PowerTwoLoci DomAndDom 2.6 1 0.0000000 0.3 0.36 0.26 0.28 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.26 0.37 0.24 0.26
PowerTwoLoci DomAndDom 2.6 1 0.0000500 0.26 0.3 0.16 0.21 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.18 0.26 0.1 0.16
PowerTwoLoci DomAndDom 2.6 1 0.0001000 0.04 0.11 0.02 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.04 0.1 0.02 0.03
PowerTwoLoci DomAndDom 2.6 1 0.0001500 0.07 0.14 0.01 0.06 0.07 0.18 0.03 0.07 0.07 0.18 0.03 0.07 0.05 0.13 0.01 0.02
PowerTwoLoci DomAndDom 2.6 1 0.0002000 0.08 0.11 0.06 0.06 0.09 0.22 0.06 0.07 0.09 0.22 0.06 0.07 0.06 0.11 0.06 0.06
PowerTwoLoci RecOrRec 1.2 1 0.0000000 0.2 0.3 0.17 0.19 0.25 0.31 0.18 0.22 0.25 0.31 0.18 0.22 0.19 0.25 0.15 0.18
PowerTwoLoci RecOrRec 1.2 1 0.0000500 0.09 0.16 0.04 0.07 0.1 0.17 0.06 0.09 0.1 0.17 0.06 0.09 0.06 0.1 0.03 0.05
PowerTwoLoci RecOrRec 1.2 1 0.0001000 0.03 0.08 0.01 0.02 0.05 0.09 0.01 0.02 0.05 0.09 0.01 0.02 0.04 0.08 0.01 0.01
PowerTwoLoci RecOrRec 1.2 1 0.0001500 0.05 0.1 0.01 0.02 0.05 0.08 0.01 0.04 0.05 0.08 0.01 0.04 0.02 0.08 0 0
PowerTwoLoci RecOrRec 1.2 1 0.0002000 0.09 0.15 0.05 0.06 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.05 0.15 0.03 0.04
PowerTwoLoci RecOrRec 1.6 1 0.0000000 0.25 0.32 0.17 0.24 0.25 0.37 0.19 0.24 0.25 0.37 0.19 0.24 0.2 0.29 0.13 0.17
PowerTwoLoci RecOrRec 1.6 1 0.0000500 0.11 0.22 0.06 0.11 0.1 0.2 0.07 0.1 0.1 0.2 0.07 0.1 0.09 0.19 0.03 0.09
PowerTwoLoci RecOrRec 1.6 1 0.0001000 0.02 0.05 0 0.01 0.05 0.08 0.01 0.02 0.05 0.08 0.01 0.02 0.02 0.04 0.01 0.01
PowerTwoLoci RecOrRec 1.6 1 0.0001500 0.04 0.08 0.02 0.03 0.04 0.12 0.01 0.02 0.04 0.12 0.01 0.02 0.04 0.11 0 0.02
PowerTwoLoci RecOrRec 1.6 1 0.0002000 0.08 0.13 0.04 0.07 0.06 0.18 0.05 0.06 0.06 0.18 0.05 0.06 0.06 0.1 0.04 0.05
PowerTwoLoci RecOrRec 2.0 1 0.0000000 0.25 0.31 0.2 0.23 0.29 0.37 0.21 0.27 0.29 0.37 0.21 0.27 0.23 0.28 0.16 0.21
